State,October_2023_Unemployment_Rate,Rank
Maryland,1.7,1
North Dakota,1.9,2
South Dakota,2,3
Vermont,2,3
New Hampshire,2.1,5
Nebraska,2.2,6
Alabama,2.3,7
Rhode Island,2.7,8
Utah,2.7,8
Virginia,2.7,8
Florida,2.8,11
Maine,2.8,11
Massachusetts,2.8,11
Montana,2.8,11
Hawaii,2.9,15
Kansas,2.9,15
South Carolina,2.9,15
Wyoming,2.9,15
Arkansas,3.1,19
Missouri,3.1,19
Idaho,3.2,21
Iowa,3.2,21
Minnesota,3.2,21
Oklahoma,3.2,21
Wisconsin,3.2,21
Colorado,3.3,26
Louisiana,3.3,26
Mississippi,3.3,26
Tennessee,3.3,26
Georgia,3.4,30
North Carolina,3.4,30
Pennsylvania,3.4,30
Connecticut,3.5,33
Indiana,3.6,34
Ohio,3.6,34
Oregon,3.6,34
New Mexico,3.8,37
Washington,3.8,37
West Virginia,4,39
Michigan,4.1,40
Texas,4.1,40
Arizona,4.2,42
Delaware,4.2,42
Kentucky,4.2,42
New York,4.2,42
Alaska,4.3,46
Illinois,4.6,47
New Jersey,4.6,47
California,4.8,49
District of Columbia,5,50
Nevada,5.4,51
